binary_field,intermediate_path,table_path
MsgHeaderCode01,signal.parsed.v1.raw.MsgHeaderCode01,hvac.fact_raw.payload_json.raw.MsgHeaderCode01
MsgHeaderCode02,signal.parsed.v1.raw.MsgHeaderCode02,hvac.fact_raw.payload_json.raw.MsgHeaderCode02
MsgLength,signal.parsed.v1.raw.MsgLength,hvac.fact_raw.payload_json.raw.MsgLength
MsgSrcDvcNo,signal.parsed.v1.raw.MsgSrcDvcNo,hvac.fact_raw.payload_json.raw.MsgSrcDvcNo
MsgHostDvcNo,signal.parsed.v1.raw.MsgHostDvcNo,hvac.fact_raw.payload_json.raw.MsgHostDvcNo
MsgType,signal.parsed.v1.raw.MsgType,hvac.fact_raw.payload_json.raw.MsgType
MsgFrameNo,signal.parsed.v1.raw.MsgFrameNo,hvac.fact_raw.payload_json.raw.MsgFrameNo
MsgLineNo,signal.parsed.v1.raw.MsgLineNo,hvac.fact_raw.payload_json.raw.MsgLineNo
MsgTrainType,signal.parsed.v1.raw.MsgTrainType,hvac.fact_raw.payload_json.raw.MsgTrainType
MsgTrainNo,signal.parsed.v1.raw.MsgTrainNo,hvac.fact_raw.payload_json.raw.MsgTrainNo
MsgCarriageNo,signal.parsed.v1.raw.MsgCarriageNo,hvac.fact_raw.payload_json.raw.MsgCarriageNo
MsgProtocalVersion,signal.parsed.v1.raw.MsgProtocalVersion,hvac.fact_raw.payload_json.raw.MsgProtocalVersion
MsgReversed1,signal.parsed.v1.raw.MsgReversed1,hvac.fact_raw.payload_json.raw.MsgReversed1
MsgReversed2,signal.parsed.v1.raw.MsgReversed2,hvac.fact_raw.payload_json.raw.MsgReversed2
MsgReversed3,signal.parsed.v1.raw.MsgReversed3,hvac.fact_raw.payload_json.raw.MsgReversed3
MsgReversed4,signal.parsed.v1.raw.MsgReversed4,hvac.fact_raw.payload_json.raw.MsgReversed4
MsgReversed5,signal.parsed.v1.raw.MsgReversed5,hvac.fact_raw.payload_json.raw.MsgReversed5
MsgSrcDvcYear,signal.parsed.v1.raw.MsgSrcDvcYear,hvac.fact_raw.payload_json.raw.MsgSrcDvcYear
MsgSrcDvcMonth,signal.parsed.v1.raw.MsgSrcDvcMonth,hvac.fact_raw.payload_json.raw.MsgSrcDvcMonth
MsgSrcDvcDay,signal.parsed.v1.raw.MsgSrcDvcDay,hvac.fact_raw.payload_json.raw.MsgSrcDvcDay
MsgSrcDvcHour,signal.parsed.v1.raw.MsgSrcDvcHour,hvac.fact_raw.payload_json.raw.MsgSrcDvcHour
MsgSrcDvcMinute,signal.parsed.v1.raw.MsgSrcDvcMinute,hvac.fact_raw.payload_json.raw.MsgSrcDvcMinute
MsgSrcDvcSecond,signal.parsed.v1.raw.MsgSrcDvcSecond,hvac.fact_raw.payload_json.raw.MsgSrcDvcSecond
DvcFlag,signal.parsed.v1.raw.DvcFlag,hvac.fact_raw.payload_json.raw.DvcFlag
DvcTrainNo,signal.parsed.v1.raw.DvcTrainNo,hvac.fact_raw.payload_json.raw.DvcTrainNo
DvcCarriageNo,signal.parsed.v1.raw.DvcCarriageNo,hvac.fact_raw.payload_json.raw.DvcCarriageNo
DvcYear,signal.parsed.v1.raw.DvcYear,hvac.fact_raw.payload_json.raw.DvcYear
DvcMonth,signal.parsed.v1.raw.DvcMonth,hvac.fact_raw.payload_json.raw.DvcMonth
DvcDay,signal.parsed.v1.raw.DvcDay,hvac.fact_raw.payload_json.raw.DvcDay
DvcHour,signal.parsed.v1.raw.DvcHour,hvac.fact_raw.payload_json.raw.DvcHour
DvcMinute,signal.parsed.v1.raw.DvcMinute,hvac.fact_raw.payload_json.raw.DvcMinute
DvcSecond,signal.parsed.v1.raw.DvcSecond,hvac.fact_raw.payload_json.raw.DvcSecond
IgRsv0,signal.parsed.v1.raw.IgRsv0,hvac.fact_raw.payload_json.raw.IgRsv0
IgRsv1,signal.parsed.v1.raw.IgRsv1,hvac.fact_raw.payload_json.raw.IgRsv1
CfbkEfU11,signal.parsed.v1.raw.CfbkEfU11,hvac.fact_raw.payload_json.raw.CfbkEfU11
IgRsv2,signal.parsed.v1.raw.IgRsv2,hvac.fact_raw.payload_json.raw.IgRsv2
CfbkCfU11,signal.parsed.v1.raw.CfbkCfU11,hvac.fact_raw.payload_json.raw.CfbkCfU11
IgRsv3,signal.parsed.v1.raw.IgRsv3,hvac.fact_raw.payload_json.raw.IgRsv3
CfbkCompU11,signal.parsed.v1.raw.CfbkCompU11,hvac.fact_raw.payload_json.raw.CfbkCompU11
CfbkCompU12,signal.parsed.v1.raw.CfbkCompU12,hvac.fact_raw.payload_json.raw.CfbkCompU12
CfbkApU11,signal.parsed.v1.raw.CfbkApU11,hvac.fact_raw.payload_json.raw.CfbkApU11
